subscriber_id,cohort_month,activity_month,months_since_signup,watch_minutes,sessions
200001,2024-01-01,2024-01-01,0,876,8
200001,2024-01-01,2024-02-01,1,544,7
200001,2024-01-01,2024-03-01,2,707,4
200002,2024-01-01,2024-01-01,0,1008,10
200002,2024-01-01,2024-02-01,1,832,8
200003,2024-01-01,2024-01-01,0,184,11
200003,2024-01-01,2024-02-01,1,345,7
200003,2024-01-01,2024-03-01,2,310,9
200004,2024-01-01,2024-01-01,0,378,8
200005,2024-01-01,2024-01-01,0,205,6
200006,2024-01-01,2024-01-01,0,629,8
200006,2024-01-01,2024-02-01,1,678,8
200007,2024-01-01,2024-01-01,0,184,11
200007,2024-01-01,2024-02-01,1,253,9
200008,2024-01-01,2024-01-01,0,903,9
200008,2024-01-01,2024-02-01,1,744,10
200008,2024-01-01,2024-03-01,2,727,10
200008,2024-01-01,2024-04-01,3,560,7
200008,2024-01-01,2024-05-01,4,728,5
200008,2024-01-01,2024-06-01,5,635,6
200009,2024-01-01,2024-01-01,0,214,8
200009,2024-01-01,2024-02-01,1,254,11
200009,2024-01-01,2024-03-01,2,341,3
200009,2024-01-01,2024-04-01,3,64,5
200010,2024-01-01,2024-01-01,0,498,7
200010,2024-01-01,2024-02-01,1,282,9
200010,2024-01-01,2024-03-01,2,253,4
200010,2024-01-01,2024-04-01,3,369,6
200010,2024-01-01,2024-05-01,4,418,5
200011,2024-01-01,2024-01-01,0,936,7
200011,2024-01-01,2024-02-01,1,937,9
200011,2024-01-01,2024-03-01,2,769,7
200011,2024-01-01,2024-04-01,3,824,8
200011,2024-01-01,2024-05-01,4,716,3
200011,2024-01-01,2024-06-01,5,719,7
200011,2024-01-01,2024-07-01,6,676,3
200012,2024-01-01,2024-01-01,0,870,6
200012,2024-01-01,2024-02-01,1,1034,9
200012,2024-01-01,2024-03-01,2,857,9
200012,2024-01-01,2024-04-01,3,840,6
200012,2024-01-01,2024-05-01,4,688,8
200013,2024-01-01,2024-01-01,0,209,4
200013,2024-01-01,2024-02-01,1,286,2
200013,2024-01-01,2024-03-01,2,240,7
200013,2024-01-01,2024-04-01,3,325,6
200013,2024-01-01,2024-05-01,4,144,6
200014,2024-01-01,2024-01-01,0,140,11
200015,2024-01-01,2024-01-01,0,553,9
200015,2024-01-01,2024-02-01,1,727,6
200016,2024-01-01,2024-01-01,0,680,11
200017,2024-01-01,2024-01-01,0,505,11
200017,2024-01-01,2024-02-01,1,266,10
200017,2024-01-01,2024-03-01,2,273,8
200017,2024-01-01,2024-04-01,3,291,7
200017,2024-01-01,2024-05-01,4,204,5
200017,2024-01-01,2024-06-01,5,419,2
200017,2024-01-01,2024-07-01,6,273,2
200018,2024-01-01,2024-01-01,0,334,11
200018,2024-01-01,2024-02-01,1,474,8
200019,2024-01-01,2024-01-01,0,177,8
200019,2024-01-01,2024-02-01,1,184,10
200019,2024-01-01,2024-03-01,2,267,5
200019,2024-01-01,2024-04-01,3,60,9
200019,2024-01-01,2024-05-01,4,42,5
200020,2024-01-01,2024-01-01,0,780,9
200020,2024-01-01,2024-02-01,1,693,6
200020,2024-01-01,2024-03-01,2,641,9
200020,2024-01-01,2024-04-01,3,668,7
200020,2024-01-01,2024-05-01,4,530,6
200021,2024-01-01,2024-01-01,0,303,7
200021,2024-01-01,2024-02-01,1,226,9
200021,2024-01-01,2024-03-01,2,514,9
200021,2024-01-01,2024-04-01,3,332,7
200021,2024-01-01,2024-05-01,4,254,10
200021,2024-01-01,2024-06-01,5,330,4
